source,target,distance,rank,vegan,raupcrick,phy
Ishigaki,Okinawa,371.782496,22,0.3599,-0.72,128.7811606
Ishigaki,Osumi,866.599536,31,0.9963,0.96,133.5300092
Ishigaki,Panari,24.042367,6,0.0554,-1,133.1199664
Ishigaki,Senkaku,144.210557,14,0.4748,-0.56,133.6449743
Ishigaki,Taketomi,3.541526,1,0.0244,-1,132.6873685
Ishigaki,Tarama,33.846507,8,0.0749,-1,134.2084785
Ishigaki,Tokashiki,346.425508,19,0.3531,-0.67,131.0712031
Ishigaki,Takora,654.279864,29,0.9758,0.83,134.7137324
Ishigaki,Tonaki,339.72167,16,0.2869,-0.85,132.9742728
Ishigaki,Yagaji,431.611656,25,0.2607,-0.81,133.0907782
Ishigaki,Yonaguni,103.915751,13,0.2017,-0.82,130.000644
Ishigaki,Zamami,345.761942,18,0.263,-0.85,132.4273466
Izena,Kamiyama,77.391446,7,0.6404,0.03,129.706392
Izena,Kohama,484.872167,23,0.0001,-1,132.3006397
Izena,Kudaka,79.64462,8,0.0001,-1,130.3523252
Izena,Kume,114.749234,13,0.0001,-1,132.5011403
Izena,Kuro,488.659402,25,0.0001,-1,133.2797968
Izena,Miyako,340.956965,15,0.0651,-0.98,133.1043255
Izena,Nakanougan,529.508847,30,0.0024,-1,132.6339853
Izena,Okinawa,20.345014,3,0.497,-1,132.1152631
Izena,Osumi,438.260775,20,0.0011,-1,132.7378752
Izena,Panari,498.002641,28,0.0001,-1,130.7403664
Izena,Senkaku,435.558376,19,0.0001,-1,131.8975035
Izena,Taketomi,477.379816,22,0.0001,-1,132.4407997
Izena,Tarama,399.54121,18,0.0001,-1,131.2669193
Izena,Tokashiki,91.054131,9,0.0001,-1,131.6724187
Izena,Takora,227.954248,14,0.0001,-1,131.3847971
Izena,Tonaki,95.295497,11,0.0001,-1,130.4235958
Izena,Yagaji,24.768748,4,0.0001,-1,132.1282072
Izena,Yonaguni,558.583488,31,0.0675,-0.98,133.1015443
Izena,Zamami,93.097652,10,0.0001,-1,130.3523252
Kamiyama,Kohama,415.652023,22,0.6987,0.13,132.5761672
Kamiyama,Kudaka,31.822545,5,0.6084,-0.05,129.5487405
Kamiyama,Kume,61.327644,10,0.8839,0.61,133.5861332
Kamiyama,Kuro,418.524855,23,0.7707,0.3,134.4706031
Kamiyama,Miyako,269.222044,14,0.9979,0.98,136.9739944
Kamiyama,Nakanougan,461.103961,29,0.0279,-0.98,120.835382
Kamiyama,Okinawa,6.876438,1,0.9997,0.97,135.7207971
Kamiyama,Osumi,521.965819,31,0.9591,0.82,131.9987743
Kamiyama,Panari,428.109339,27,0.3756,-0.49,128.7110245
Kamiyama,Senkaku,387.203317,20,0.6754,0.09,129.95306
Kamiyama,Taketomi,407.553304,21,0.587,-0.15,131.9721427
Kamiyama,Tarama,330.316282,17,0.5679,-0.12,129.1822436
Kamiyama,Tokashiki,17.226444,2,0.7988,0.31,134.3223884
Kamiyama,Takora,312.333644,16,0.6437,0.03,127.1619508
Kamiyama,Tonaki,39.271616,6,0.5656,-0.12,129.0276263
Kamiyama,Yagaji,59.762014,9,0.8698,0.55,133.1279015
Kamiyama,Yonaguni,494.628627,30,0.9999,1,137.1786889
Kamiyama,Zamami,20.973943,3,0.6045,-0.05,129.5487405
Kohama,Kudaka,439.93617,23,0.0001,-1,131.9189152
Kohama,Kume,352.323334,15,0.0001,-1,132.8324461
Kohama,Kuro,7.42099,3,0.0001,-1,132.8577596
